parcel	section	section_num	lh_R	lh_G	lh_B	rh_R	rh_G	rh_B	s_R	s_G	s_B	Parcel Number
V1	Primary_Visual_Cortex	1	0.247059	0.0196078	1	0.243137	0	1	0	0	0.501961	1
MST	MT+_Complex_and_Neighboring_Visual_Areas	5	0.211765	0.403922	0.505882	0.196078	0.439216	0.501961	0.12549	0.501961	0.501961	2
V6	Dorsal_Stream_Visual_Cortex	3	0.243137	0.305882	0.698039	0.262745	0.352941	0.705882	0.501961	0.501961	1	3
V2	Early_Visual_Cortex	2	0.0901961	0.196078	0.913725	0.105882	0.219608	0.917647	0	0	1	4
V3	Early_Visual_Cortex	2	0.0588235	0.156863	0.886275	0.0745098	0.172549	0.909804	0	0	1	5
V4	Early_Visual_Cortex	2	0.054902	0.109804	0.839216	0.0666667	0.184314	0.862745	0	0	1	6
V8	Ventral_Stream_Visual_Cortex	4	0.101961	0.184314	0.788235	0.0901961	0.266667	0.823529	0.376471	0	0.752941	7
4	Somatosensory_and_Motor_Cortex	6	0.129412	0.698039	0.0784314	0.121569	0.729412	0.101961	0	1	0	8
3b	Somatosensory_and_Motor_Cortex	6	0.137255	0.803922	0.0823529	0.156863	0.772549	0.0941176	0	1	0	9
FEF	Premotor_Cortex	8	0.52549	0.560784	0.537255	0.537255	0.607843	0.588235	0.501961	1	0.501961	10
PEF	Premotor_Cortex	8	0.552941	0.65098	0.596078	0.615686	0.713726	0.654902	0.501961	1	0.501961	11
55b	Premotor_Cortex	8	0.243137	0.345098	0.184314	0.411765	0.419608	0.290196	0.501961	1	0.501961	12
V3A	Dorsal_Stream_Visual_Cortex	3	0.027451	0.223529	0.964706	0.0745098	0.282353	0.968627	0.501961	0.501961	1	13
RSC	Posterior_Cingulate	18	0.6	0.25098	0.521569	0.584314	0.270588	0.533333	0.501961	0.12549	0.376471	14
POS2	Posterior_Cingulate	18	0.729412	0.337255	0.737255	0.803922	0.435294	0.803922	0.501961	0.12549	0.376471	15
V7	Dorsal_Stream_Visual_Cortex	3	0.0705882	0.27451	0.764706	0.109804	0.376471	0.752941	0.501961	0.501961	1	16
IPS1	Dorsal_Stream_Visual_Cortex	3	0.223529	0.447059	0.627451	0.247059	0.552941	0.686275	0.501961	0.501961	1	17
FFC	Ventral_Stream_Visual_Cortex	4	0.223529	0.34902	0.458824	0.203922	0.423529	0.478431	0.376471	0	0.752941	18
V3B	Dorsal_Stream_Visual_Cortex	3	0.0980392	0.184314	0.807843	0.156863	0.313726	0.870588	0.501961	0.501961	1	19
LO1	MT+_Complex_and_Neighboring_Visual_Areas	5	0	0.192157	0.721569	0.0509804	0.262745	0.784314	0.12549	0.501961	0.501961	20
LO2	MT+_Complex_and_Neighboring_Visual_Areas	5	0.0705882	0.129412	0.709804	0.0745098	0.258824	0.713726	0.12549	0.501961	0.501961	21
PIT	Ventral_Stream_Visual_Cortex	4	0.133333	0.168627	0.670588	0.145098	0.290196	0.721569	0.376471	0	0.752941	22
MT	MT+_Complex_and_Neighboring_Visual_Areas	5	0.121569	0.337255	0.407843	0.121569	0.388235	0.423529	0.12549	0.501961	0.501961	23
A1	Early_Auditory_Cortex	10	0.921569	0.0745098	0.184314	0.909804	0.0392157	0.180392	1	0	0	24
PSL	Temporal-Parietal-Occipital_Junction	15	0.478431	0.309804	0.219608	0.741176	0.580392	0.533333	0.752941	0.376471	0.12549	25
SFL	DorsoLateral_Prefrontal_Cortex	22	0.121569	0.192157	0.0862745	0.258824	0.235294	0.184314	0.878431	0.752941	0.752941	26
PCV	Posterior_Cingulate	18	0.541176	0.501961	0.6	0.509804	0.572549	0.615686	0.501961	0.12549	0.376471	27
STV	Temporal-Parietal-Occipital_Junction	15	0.556863	0.341176	0.298039	0.545098	0.45098	0.415686	0.752941	0.376471	0.12549	28
7Pm	Superior_Parietal_and_IPS	16	0.584314	0.709804	0.737255	0.6	0.835294	0.772549	0	1	0.752941	29
7m	Posterior_Cingulate	18	0.164706	0.121569	0.172549	0.184314	0.188235	0.207843	0.501961	0.12549	0.376471	30
POS1	Posterior_Cingulate	18	0.317647	0.211765	0.384314	0.32549	0.32549	0.462745	0.501961	0.12549	0.376471	31
23d	Posterior_Cingulate	18	0.498039	0.219608	0.356863	0.529412	0.219608	0.384314	0.501961	0.12549	0.376471	32
v23ab	Posterior_Cingulate	18	0.113725	0	0.054902	0.101961	0.0431373	0.0980392	0.501961	0.12549	0.376471	33
d23ab	Posterior_Cingulate	18	0.247059	0.0666667	0.184314	0.235294	0.0627451	0.172549	0.501961	0.12549	0.376471	34
31pv	Posterior_Cingulate	18	0.211765	0.0431373	0.164706	0.266667	0.0666667	0.196078	0.501961	0.12549	0.376471	35
5m	Paracentral_Lobular_and_Mid_Cingulate_Cortex	7	0.188235	0.639216	0.188235	0.168627	0.694118	0.192157	0.752941	1	0.501961	36
5mv	Paracentral_Lobular_and_Mid_Cingulate_Cortex	7	0.6	0.67451	0.533333	0.545098	0.647059	0.505882	0.752941	1	0.501961	37
23c	Posterior_Cingulate	18	0.803922	0.745098	0.760784	0.803922	0.772549	0.764706	0.501961	0.12549	0.376471	38
5L	Paracentral_Lobular_and_Mid_Cingulate_Cortex	7	0.25098	0.603922	0.25098	0.25098	0.639216	0.262745	0.752941	1	0.501961	39
24dd	Paracentral_Lobular_and_Mid_Cingulate_Cortex	7	0.270588	0.631373	0.172549	0.270588	0.654902	0.188235	0.752941	1	0.501961	40
24dv	Paracentral_Lobular_and_Mid_Cingulate_Cortex	7	0.466667	0.623529	0.258824	0.439216	0.631373	0.258824	0.752941	1	0.501961	41
7AL	Superior_Parietal_and_IPS	16	0.45098	0.760784	0.52549	0.443137	0.733333	0.478431	0	1	0.752941	42
SCEF	Paracentral_Lobular_and_Mid_Cingulate_Cortex	7	0.431373	0.572549	0.337255	0.552941	0.6	0.435294	0.752941	1	0.501961	43
6ma	Paracentral_Lobular_and_Mid_Cingulate_Cortex	7	0.564706	0.701961	0.529412	0.588235	0.690196	0.545098	0.752941	1	0.501961	44
