contrast,parcel,group1,group2,meandiff,p-adj,lower,upper,reject
real_vs_rest,83,L2_High,L2_Low,0.3235,0.6447,-0.5674,1.2144,False
real_vs_rest,83,L2_High,Native,-1.6146,0.0,-2.3682,-0.8611,True
real_vs_rest,83,L2_Low,Native,-1.9382,0.0,-2.7261,-1.1502,True
real_vs_rest,82,L2_High,L2_Low,-1.0304,0.0257,-1.9495,-0.1113,True
real_vs_rest,82,L2_High,Native,-1.7368,0.0,-2.5143,-0.9593,True
real_vs_rest,82,L2_Low,Native,-0.7064,0.0977,-1.5192,0.1065,False
real_vs_rest,145,L2_High,L2_Low,0.7706,0.2327,-0.3696,1.9109,False
real_vs_rest,145,L2_High,Native,-1.3389,0.0052,-2.3035,-0.3744,True
real_vs_rest,145,L2_Low,Native,-2.1096,0.0001,-3.118,-1.1011,True
real_vs_rest,80,L2_High,L2_Low,0.1683,0.9546,-1.2687,1.6054,False
real_vs_rest,80,L2_High,Native,-1.8594,0.0021,-3.075,-0.6437,True
real_vs_rest,80,L2_Low,Native,-2.0277,0.0014,-3.2987,-0.7567,True
real_vs_rest,144,L2_High,L2_Low,-0.0811,0.9832,-1.2286,1.0663,False
real_vs_rest,144,L2_High,Native,-1.5302,0.0016,-2.5008,-0.5596,True
real_vs_rest,144,L2_Low,Native,-1.4491,0.0041,-2.4639,-0.4342,True
real_vs_rest,79,L2_High,L2_Low,0.0318,0.9989,-1.7086,1.7721,False
real_vs_rest,79,L2_High,Native,-2.1759,0.003,-3.6481,-0.7037,True
real_vs_rest,79,L2_Low,Native,-2.2077,0.0039,-3.7469,-0.6685,True
real_vs_rest,12,L2_High,L2_Low,-0.0067,0.9999,-1.4767,1.4632,False
real_vs_rest,12,L2_High,Native,-1.8117,0.0034,-3.0551,-0.5683,True
real_vs_rest,12,L2_Low,Native,-1.805,0.0052,-3.1051,-0.5049,True
real_vs_rest,81,L2_High,L2_Low,0.1376,0.9725,-1.378,1.6531,False
real_vs_rest,81,L2_High,Native,-1.7008,0.0076,-2.9828,-0.4188,True
real_vs_rest,81,L2_Low,Native,-1.8384,0.0058,-3.1788,-0.498,True
real_vs_rest,113,L2_High,L2_Low,-2.4508,0.0012,-3.9663,-0.9353,True
real_vs_rest,113,L2_High,Native,-0.9258,0.1918,-2.2077,0.3562,False
real_vs_rest,113,L2_Low,Native,1.525,0.0233,0.1847,2.8653,True
real_vs_rest,11,L2_High,L2_Low,-0.4625,0.7223,-1.9453,1.0204,False
real_vs_rest,11,L2_High,Native,-1.8231,0.0035,-3.0775,-0.5688,True
real_vs_rest,11,L2_Low,Native,-1.3607,0.0408,-2.6721,-0.0492,True
fake_vs_rest,125,L2_High,L2_Low,-0.06,0.9918,-1.2751,1.1551,False
fake_vs_rest,125,L2_High,Native,2.0679,0.0001,1.04,3.0958,True
fake_vs_rest,125,L2_Low,Native,2.1279,0.0001,1.0532,3.2025,True
fake_vs_rest,129,L2_High,L2_Low,-0.6617,0.4237,-1.9532,0.6298,False
fake_vs_rest,129,L2_High,Native,1.5449,0.0044,0.4524,2.6374,True
fake_vs_rest,129,L2_Low,Native,2.2066,0.0002,1.0643,3.3489,True
fake_vs_rest,107,L2_High,L2_Low,-0.3893,0.7477,-1.7105,0.9319,False
fake_vs_rest,107,L2_High,Native,1.6963,0.0023,0.5787,2.8139,True
fake_vs_rest,107,L2_Low,Native,2.0856,0.0004,0.9171,3.2541,True
fake_vs_rest,123,L2_High,L2_Low,-0.6562,0.2581,-1.6657,0.3534,False
fake_vs_rest,123,L2_High,Native,1.0441,0.0142,0.1901,1.8981,True
fake_vs_rest,123,L2_Low,Native,1.7003,0.0002,0.8074,2.5932,True
real_vs_fake,125,L2_High,L2_Low,0.1156,0.9751,-1.2239,1.455,False
real_vs_fake,125,L2_High,Native,-2.2555,0.0001,-3.3886,-1.1225,True
real_vs_fake,125,L2_Low,Native,-2.3711,0.0001,-3.5557,-1.1865,True
real_vs_fake,175,L2_High,L2_Low,-0.0886,0.9772,-1.1617,0.9845,False
real_vs_fake,175,L2_High,Native,-1.852,0.0001,-2.7597,-0.9442,True
real_vs_fake,175,L2_Low,Native,-1.7634,0.0003,-2.7125,-0.8143,True
real_vs_fake,107,L2_High,L2_Low,-0.7168,0.3484,-1.9744,0.5408,False
real_vs_fake,107,L2_High,Native,-2.3914,0.0,-3.4552,-1.3276,True
real_vs_fake,107,L2_Low,Native,-1.6746,0.0025,-2.7869,-0.5623,True
real_vs_fake,12,L2_High,L2_Low,0.0992,0.9812,-1.228,1.4265,False
real_vs_fake,12,L2_High,Native,-2.0287,0.0004,-3.1514,-0.906,True
real_vs_fake,12,L2_Low,Native,-2.1279,0.0003,-3.3017,-0.9541,True
real_vs_fake,79,L2_High,L2_Low,0.3195,0.915,-1.6507,2.2897,False
real_vs_fake,79,L2_High,Native,-2.6288,0.0016,-4.2954,-0.9622,True
real_vs_fake,79,L2_Low,Native,-2.9483,0.0007,-4.6909,-1.2058,True
real_vs_fake,145,L2_High,L2_Low,0.8811,0.2916,-0.5435,2.3057,False
real_vs_fake,145,L2_High,Native,-1.4176,0.0187,-2.6227,-0.2125,True
real_vs_fake,145,L2_Low,Native,-2.2987,0.0003,-3.5587,-1.0388,True
real_vs_fake,81,L2_High,L2_Low,0.691,0.6593,-1.2631,2.6452,False
real_vs_fake,81,L2_High,Native,-2.2141,0.007,-3.8671,-0.561,True
real_vs_fake,81,L2_Low,Native,-2.9051,0.0008,-4.6335,-1.1768,True
real_vs_fake,129,L2_High,L2_Low,0.197,0.9543,-1.4784,1.8724,False
real_vs_fake,129,L2_High,Native,-1.9091,0.0067,-3.3263,-0.4919,True
real_vs_fake,129,L2_Low,Native,-2.1061,0.0042,-3.5879,-0.6243,True
real_vs_fake,178,L2_High,L2_Low,-0.8221,0.1801,-1.938,0.2938,False
real_vs_fake,178,L2_High,Native,-1.5624,0.001,-2.5063,-0.6185,True
real_vs_fake,178,L2_Low,Native,-0.7402,0.1699,-1.7272,0.2467,False
real_vs_fake,139,L2_High,L2_Low,0.3306,0.8328,-1.0868,1.748,False
real_vs_fake,139,L2_High,Native,-1.4857,0.0129,-2.6847,-0.2867,True
real_vs_fake,139,L2_Low,Native,-1.8163,0.0036,-3.07,-0.5627,True
real_vs_fake,83,L2_High,L2_Low,0.6094,0.6017,-0.9484,2.1671,False
real_vs_fake,83,L2_High,Native,-1.4725,0.0262,-2.7902,-0.1548,True
real_vs_fake,83,L2_Low,Native,-2.0819,0.0024,-3.4596,-0.7041,True
real_vs_fake,123,L2_High,L2_Low,-0.1057,0.9745,-1.3148,1.1035,False
real_vs_fake,123,L2_High,Native,-1.4369,0.0047,-2.4597,-0.4141,True
real_vs_fake,123,L2_Low,Native,-1.3312,0.0125,-2.4007,-0.2618,True
real_vs_fake,82,L2_High,L2_Low,-0.2637,0.8464,-1.4482,0.9208,False
real_vs_fake,82,L2_High,Native,-1.3892,0.0053,-2.3912,-0.3872,True
real_vs_fake,82,L2_Low,Native,-1.1255,0.0334,-2.1732,-0.0779,True
real_vs_fake_in_positive,107,L2_High,L2_Low,-0.2684,0.7995,-1.3082,0.7714,False
real_vs_fake_in_positive,107,L2_High,Native,-1.7319,0.0001,-2.6115,-0.8523,True
real_vs_fake_in_positive,107,L2_Low,Native,-1.4634,0.0014,-2.3831,-0.5438,True
real_vs_fake_in_positive,125,L2_High,L2_Low,0.0388,0.996,-1.0817,1.1592,False
